Date,Open,High,Low,Close,Adj Close,Volume
2023-10-03,35.709999,36.389999,34.040001,34.540001,34.389034,133269500
2023-10-04,34.779999,36.189999,34.639999,35.939999,35.782913,126379600
2023-10-05,35.889999,36.000000,34.500000,35.560001,35.404575,109003100
2023-10-06,34.650002,37.689999,34.410000,37.349998,37.186749,147151000
2023-10-09,36.610001,38.090000,36.139999,37.900002,37.734348,105483000
2023-10-10,38.009998,39.369999,37.849998,38.520000,38.351639,108054800
2023-10-11,38.939999,39.410000,38.400002,39.340000,39.168053,95855400
2023-10-12,39.470001,40.049999,38.119999,38.880001,38.710064,118254600
2023-10-13,39.090000,39.279999,36.970001,37.410000,37.246487,129755500
2023-10-16,37.820000,39.000000,37.770000,38.669998,38.500980,86576100
2023-10-17,37.520000,38.820000,36.849998,38.299999,38.132599,105193500
2023-10-18,37.470001,38.180000,36.330002,36.680000,36.519680,131582600
2023-10-19,37.150002,37.509998,35.439999,35.700001,35.543964,185025200
2023-10-20,35.520000,35.700001,34.020000,34.090000,33.940998,138488400
2023-10-23,33.669998,35.410000,33.060001,34.389999,34.239689,131799500
2023-10-24,34.900002,35.590000,34.400002,35.360001,35.205448,122537300
2023-10-25,34.630001,34.680000,32.580002,32.770000,32.626770,164181600
2023-10-26,32.380001,32.639999,30.469999,30.860001,30.725117,187023700
2023-10-27,31.580000,32.230000,30.950001,31.299999,31.163193,147351100
2023-10-30,31.950001,32.689999,31.580000,32.310001,32.168781,132152800
2023-10-31,32.320000,32.889999,31.600000,32.779999,32.636723,111461800
2023-11-01,33.000000,34.630001,32.970001,34.470001,34.319340,166317800
2023-11-02,35.759998,36.380001,35.400002,36.299999,36.141338,117067000
2023-11-03,36.700001,37.980000,36.630001,37.580002,37.415749,114110500
2023-11-06,37.810001,38.209999,37.320000,38.009998,37.843864,91799800
2023-11-07,38.349998,39.369999,37.970001,39.080002,38.909191,102251100
2023-11-08,39.200001,39.430000,38.430000,39.150002,38.978886,93980100
2023-11-09,39.340000,39.709999,38.060001,38.220001,38.052948,129182600
2023-11-10,38.750000,40.830002,38.580002,40.770000,40.591801,124463800
2023-11-13,40.250000,40.730000,39.750000,40.400002,40.223419,90215200
2023-11-14,42.470001,43.279999,42.290001,42.939999,42.752316,116776200
2023-11-15,43.619999,43.779999,42.599998,43.060001,42.871796,109216300
2023-11-16,42.759998,43.209999,42.330002,43.130001,42.941486,89022500
2023-11-17,42.880001,43.500000,42.570000,43.160000,42.971355,78758500
2023-11-20,43.150002,44.950001,43.139999,44.700001,44.504627,82827800
2023-11-21,44.090000,44.160000,43.290001,43.889999,43.698166,74137600
2023-11-22,44.570000,45.419998,44.049999,44.400002,44.205936,85723200
2023-11-24,44.250000,44.450001,43.849998,44.180000,43.986897,31987700
2023-11-27,44.009998,44.740002,43.770000,44.049999,43.857464,60928200
2023-11-28,43.799999,44.599998,43.669998,44.400002,44.205936,79174500
2023-11-29,45.240002,45.730000,44.130001,44.240002,44.046638,88761600
2023-11-30,44.299999,44.459999,42.840000,43.869999,43.678253,93197300
2023-12-01,43.490002,44.439999,42.919998,44.240002,44.046638,86355500
2023-12-04,42.910000,43.070000,41.730000,42.980000,42.792141,90571800
2023-12-05,42.310001,43.700001,42.259998,43.290001,43.100788,83770200
2023-12-06,44.279999,44.320000,42.410000,42.520000,42.334152,81500300
2023-12-07,43.480000,44.540001,43.110001,44.299999,44.106373,81377700
2023-12-08,43.650002,45.000000,43.590000,44.830002,44.634060,90743900
2023-12-11,44.669998,46.080002,44.599998,45.970001,45.769073,75770000
